"energy","liveness","tempo","speechiness","acousticness","danceability","duration_ms","loudness"
0.139,0.248,111.023,0.0935,0.866,0.566,216935,-16.208
0.493,0.331,108.651,0.0575,0.0726,0.944,234627,-5.962
0.841,0.129,125.938,0.0787,0.0479,0.616,191600,-5.189
0.766,0.0903,139.999,0.05,0.606,0.54,209920,-4.478
0.717,0.625,190.05,0.318,0.00256,0.618,196693,-5.738
0.53,0.177,108.038,0.0434,0.4,0.63,225053,-7.259
0.564,0.0912,124.984,0.105,0.617,0.842,207547,-8.042
0.523,0.0846,130.039,0.0368,0.234,0.677,255173,-8.722
0.525,0.23,107.309,0.0777,0.089,0.522,236893,-10.1
0.881,0.0877,187.879,0.271,0.19,0.494,218813,-4.644
0.774,0.148,114.043,0.0944,0.112,0.695,223853,-4.543
0.963,0.0871,161.933,0.108,0.0891,0.5,190800,-1.147
0.921,0.0576,139.986,0.0848,0.0183,0.612,202173,-2.879
0.816,0.0649,119.587,0.09,0.0867,0.382,200226,-3.957
